path,pH,well,hour,split
Preprocessed_Data/216 hr/pH7 Hydrolytic/cropped_216hr_pH7_W32.JPG,7,32,216,test
Preprocessed_Data/264 hr/pH7 Hydrolytic/cropped_264hr_pH7_W32.JPG,7,32,264,test
Preprocessed_Data/0 hr/pH7 Hydrolytic/cropped_0hr_pH7_W37.JPG,7,37,0,test
Preprocessed_Data/24 hr/pH7 Hydrolytic/cropped_24hr_pH7_W37.JPG,7,37,24,test
Preprocessed_Data/30 hr/pH7 Hydrolytic/cropped_30hr_pH7_W37.JPG,7,37,30,test
Preprocessed_Data/48 hr/pH7 Hydrolytic/cropped_48hr_pH7_W37.JPG,7,37,48,test
Preprocessed_Data/72 hr/pH7 Hydrolytic/cropped_72hr_pH7_W37.JPG,7,37,72,test
Preprocessed_Data/95 hr/pH7 Hydrolytic/cropped_95hr_pH7_W37.JPG,7,37,95,test
Preprocessed_Data/120 hr/pH7 Hydrolytic/cropped_120hr_pH7_W37.JPG,7,37,120,test
Preprocessed_Data/168 hr/pH7 Hydrolytic/cropped_168hr_pH7_W37.JPG,7,37,168,test
Preprocessed_Data/192 hr/pH7 Hydrolytic/cropped_192hr_pH7_W37.JPG,7,37,192,test
Preprocessed_Data/216 hr/pH7 Hydrolytic/cropped_216hr_pH7_W37.JPG,7,37,216,test
Preprocessed_Data/264 hr/pH7 Hydrolytic/cropped_264hr_pH7_W37.JPG,7,37,264,test
Preprocessed_Data/0 hr/pH7 Hydrolytic/cropped_0hr_pH7_W45.JPG,7,45,0,test
Preprocessed_Data/24 hr/pH7 Hydrolytic/cropped_24hr_pH7_W45.JPG,7,45,24,test
Preprocessed_Data/30 hr/pH7 Hydrolytic/cropped_30hr_pH7_W45.JPG,7,45,30,test
Preprocessed_Data/48 hr/pH7 Hydrolytic/cropped_48hr_pH7_W45.JPG,7,45,48,test
Preprocessed_Data/72 hr/pH7 Hydrolytic/cropped_72hr_pH7_W45.JPG,7,45,72,test
Preprocessed_Data/95 hr/pH7 Hydrolytic/cropped_95hr_pH7_W45.JPG,7,45,95,test
Preprocessed_Data/120 hr/pH7 Hydrolytic/cropped_120hr_pH7_W45.JPG,7,45,120,test
Preprocessed_Data/168 hr/pH7 Hydrolytic/cropped_168hr_pH7_W45.JPG,7,45,168,test
Preprocessed_Data/192 hr/pH7 Hydrolytic/cropped_192hr_pH7_W45.JPG,7,45,192,test
Preprocessed_Data/216 hr/pH7 Hydrolytic/cropped_216hr_pH7_W45.JPG,7,45,216,test
Preprocessed_Data/264 hr/pH7 Hydrolytic/cropped_264hr_pH7_W45.JPG,7,45,264,test
Preprocessed_Data/0 hr/pH7 Hydrolytic/cropped_0hr_pH7_W48.JPG,7,48,0,test
Preprocessed_Data/24 hr/pH7 Hydrolytic/cropped_24hr_pH7_W48.JPG,7,48,24,test
Preprocessed_Data/30 hr/pH7 Hydrolytic/cropped_30hr_pH7_W48.jpg,7,48,30,test
Preprocessed_Data/48 hr/pH7 Hydrolytic/cropped_48hr_pH7_W48.JPG,7,48,48,test
Preprocessed_Data/72 hr/pH7 Hydrolytic/cropped_72hr_pH7_W48.JPG,7,48,72,test
Preprocessed_Data/95 hr/pH7 Hydrolytic/cropped_95hr_pH7_W48.JPG,7,48,95,test
Preprocessed_Data/120 hr/pH7 Hydrolytic/cropped_120hr_pH7_W48.JPG,7,48,120,test
Preprocessed_Data/168 hr/pH7 Hydrolytic/cropped_168hr_pH7_W48.JPG,7,48,168,test
Preprocessed_Data/192 hr/pH7 Hydrolytic/cropped_192hr_pH7_W48.JPG,7,48,192,test
Preprocessed_Data/216 hr/pH7 Hydrolytic/cropped_216hr_pH7_W48.JPG,7,48,216,test
Preprocessed_Data/264 hr/pH7 Hydrolytic/cropped_264hr_pH7_W48.JPG,7,48,264,test
Preprocessed_Data/0 hr/pH8 Hydrolytic/cropped_0hr_pH8_W1.JPG,8,1,0,test
Preprocessed_Data/24 hr/pH8 Hydrolytic/cropped_24hr_pH8_W1.JPG,8,1,24,test
Preprocessed_Data/30 hr/pH8 Hydrolytic/cropped_30hr_pH8_W1.JPG,8,1,30,test
Preprocessed_Data/48 hr/pH8 Hydrolytic/cropped_48hr_pH8_W1.JPG,8,1,48,test
Preprocessed_Data/72 hr/pH8 Hydrolytic/cropped_72hr_pH8_W1.JPG,8,1,72,test
Preprocessed_Data/95 hr/pH8 Hydrolytic/cropped_95hr_pH8_W1.JPG,8,1,95,test
Preprocessed_Data/120 hr/pH8 Hydrolytic/cropped_120hr_pH8_W1.JPG,8,1,120,test
Preprocessed_Data/168 hr/pH8 Hydrolytic/cropped_168hr_pH8_W1.JPG,8,1,168,test
Preprocessed_Data/192 hr/pH8 Hydrolytic/cropped_192hr_pH8_W1.JPG,8,1,192,test
Preprocessed_Data/216 hr/pH8 Hydrolytic/cropped_216hr_pH8_W1.JPG,8,1,216,test
Preprocessed_Data/264 hr/pH8 Hydrolytic/cropped_264hr_pH8_W1.JPG,8,1,264,test
Preprocessed_Data/0 hr/pH8 Hydrolytic/cropped_0hr_pH8_W7.JPG,8,7,0,test
Preprocessed_Data/24 hr/pH8 Hydrolytic/cropped_24hr_pH8_W7.JPG,8,7,24,test
Preprocessed_Data/30 hr/pH8 Hydrolytic/cropped_30hr_pH8_W7.JPG,8,7,30,test
Preprocessed_Data/48 hr/pH8 Hydrolytic/cropped_48hr_pH8_W7.JPG,8,7,48,test
Preprocessed_Data/72 hr/pH8 Hydrolytic/cropped_72hr_pH8_W7.JPG,8,7,72,test
Preprocessed_Data/95 hr/pH8 Hydrolytic/cropped_95hr_pH8_W7.JPG,8,7,95,test
Preprocessed_Data/120 hr/pH8 Hydrolytic/cropped_120hr_pH8_W7.JPG,8,7,120,test
Preprocessed_Data/168 hr/pH8 Hydrolytic/cropped_168hr_pH8_W7.JPG,8,7,168,test
Preprocessed_Data/192 hr/pH8 Hydrolytic/cropped_192hr_pH8_W7.JPG,8,7,192,test
Preprocessed_Data/216 hr/pH8 Hydrolytic/cropped_216hr_pH8_W7.JPG,8,7,216,test
Preprocessed_Data/264 hr/pH8 Hydrolytic/cropped_264hr_pH8_W7.JPG,8,7,264,test
Preprocessed_Data/0 hr/pH8 Hydrolytic/cropped_0hr_pH8_W11.JPG,8,11,0,test
Preprocessed_Data/24 hr/pH8 Hydrolytic/cropped_24hr_pH8_W11.JPG,8,11,24,test
Preprocessed_Data/30 hr/pH8 Hydrolytic/cropped_30hr_pH8_W11.JPG,8,11,30,test
Preprocessed_Data/48 hr/pH8 Hydrolytic/cropped_48hr_pH8_W11.JPG,8,11,48,test
Preprocessed_Data/72 hr/pH8 Hydrolytic/cropped_72hr_pH8_W11.JPG,8,11,72,test
Preprocessed_Data/95 hr/pH8 Hydrolytic/cropped_95hr_pH8_W11.JPG,8,11,95,test
Preprocessed_Data/120 hr/pH8 Hydrolytic/cropped_120hr_pH8_W11.JPG,8,11,120,test
Preprocessed_Data/168 hr/pH8 Hydrolytic/cropped_168hr_pH8_W11.JPG,8,11,168,test
Preprocessed_Data/192 hr/pH8 Hydrolytic/cropped_192hr_pH8_W11.JPG,8,11,192,test
Preprocessed_Data/216 hr/pH8 Hydrolytic/cropped_216hr_pH8_W11.JPG,8,11,216,test
Preprocessed_Data/264 hr/pH8 Hydrolytic/cropped_264hr_pH8_W11.JPG,8,11,264,test
Preprocessed_Data/0 hr/pH8 Hydrolytic/cropped_0hr_pH8_W12.JPG,8,12,0,test
Preprocessed_Data/24 hr/pH8 Hydrolytic/cropped_24hr_pH8_W12.JPG,8,12,24,test
Preprocessed_Data/30 hr/pH8 Hydrolytic/cropped_30hr_pH8_W12.JPG,8,12,30,test
Preprocessed_Data/48 hr/pH8 Hydrolytic/cropped_48hr_pH8_W12.JPG,8,12,48,test
Preprocessed_Data/72 hr/pH8 Hydrolytic/cropped_72hr_pH8_W12.JPG,8,12,72,test
Preprocessed_Data/95 hr/pH8 Hydrolytic/cropped_95hr_pH8_W12.JPG,8,12,95,test
Preprocessed_Data/120 hr/pH8 Hydrolytic/cropped_120hr_pH8_W12.JPG,8,12,120,test
Preprocessed_Data/168 hr/pH8 Hydrolytic/cropped_168hr_pH8_W12.JPG,8,12,168,test
Preprocessed_Data/192 hr/pH8 Hydrolytic/cropped_192hr_pH8_W12.JPG,8,12,192,test
Preprocessed_Data/216 hr/pH8 Hydrolytic/cropped_216hr_pH8_W12.JPG,8,12,216,test
Preprocessed_Data/264 hr/pH8 Hydrolytic/cropped_264hr_pH8_W12.JPG,8,12,264,test
Preprocessed_Data/0 hr/pH8 Hydrolytic/cropped_0hr_pH8_W17.JPG,8,17,0,test
Preprocessed_Data/24 hr/pH8 Hydrolytic/cropped_24hr_pH8_W17.JPG,8,17,24,test
Preprocessed_Data/30 hr/pH8 Hydrolytic/cropped_30hr_pH8_W17.JPG,8,17,30,test
Preprocessed_Data/48 hr/pH8 Hydrolytic/cropped_48hr_pH8_W17.JPG,8,17,48,test
Preprocessed_Data/72 hr/pH8 Hydrolytic/cropped_72hr_pH8_W17.JPG,8,17,72,test
Preprocessed_Data/95 hr/pH8 Hydrolytic/cropped_95hr_pH8_W17.JPG,8,17,95,test
Preprocessed_Data/120 hr/pH8 Hydrolytic/cropped_120hr_pH8_W17.JPG,8,17,120,test
Preprocessed_Data/168 hr/pH8 Hydrolytic/cropped_168hr_pH8_W17.JPG,8,17,168,test
Preprocessed_Data/192 hr/pH8 Hydrolytic/cropped_192hr_pH8_W17.JPG,8,17,192,test
Preprocessed_Data/216 hr/pH8 Hydrolytic/cropped_216hr_pH8_W17.JPG,8,17,216,test
Preprocessed_Data/264 hr/pH8 Hydrolytic/cropped_264hr_pH8_W17.JPG,8,17,264,test
Preprocessed_Data/0 hr/pH8 Hydrolytic/cropped_0hr_pH8_W20.JPG,8,20,0,test
Preprocessed_Data/24 hr/pH8 Hydrolytic/cropped_24hr_pH8_W20.JPG,8,20,24,test
Preprocessed_Data/30 hr/pH8 Hydrolytic/cropped_30hr_pH8_W20.JPG,8,20,30,test
Preprocessed_Data/48 hr/pH8 Hydrolytic/cropped_48hr_pH8_W20.JPG,8,20,48,test
Preprocessed_Data/72 hr/pH8 Hydrolytic/cropped_72hr_pH8_W20.JPG,8,20,72,test
Preprocessed_Data/95 hr/pH8 Hydrolytic/cropped_95hr_pH8_W20.JPG,8,20,95,test
Preprocessed_Data/120 hr/pH8 Hydrolytic/cropped_120hr_pH8_W20.JPG,8,20,120,test
Preprocessed_Data/168 hr/pH8 Hydrolytic/cropped_168hr_pH8_W20.JPG,8,20,168,test
Preprocessed_Data/192 hr/pH8 Hydrolytic/cropped_192hr_pH8_W20.JPG,8,20,192,test
Preprocessed_Data/216 hr/pH8 Hydrolytic/cropped_216hr_pH8_W20.JPG,8,20,216,test
Preprocessed_Data/264 hr/pH8 Hydrolytic/cropped_264hr_pH8_W20.JPG,8,20,264,test
Preprocessed_Data/0 hr/pH8 Hydrolytic/cropped_0hr_pH8_W30.JPG,8,30,0,test
Preprocessed_Data/24 hr/pH8 Hydrolytic/cropped_24hr_pH8_W30.JPG,8,30,24,test
Preprocessed_Data/30 hr/pH8 Hydrolytic/cropped_30hr_pH8_W30.JPG,8,30,30,test
Preprocessed_Data/48 hr/pH8 Hydrolytic/cropped_48hr_pH8_W30.JPG,8,30,48,test
Preprocessed_Data/72 hr/pH8 Hydrolytic/cropped_72hr_pH8_W30.JPG,8,30,72,test
Preprocessed_Data/95 hr/pH8 Hydrolytic/cropped_95hr_pH8_W30.JPG,8,30,95,test
Preprocessed_Data/120 hr/pH8 Hydrolytic/cropped_120hr_pH8_W30.JPG,8,30,120,test
Preprocessed_Data/168 hr/pH8 Hydrolytic/cropped_168hr_pH8_W30.JPG,8,30,168,test
Preprocessed_Data/192 hr/pH8 Hydrolytic/cropped_192hr_pH8_W30.JPG,8,30,192,test
Preprocessed_Data/216 hr/pH8 Hydrolytic/cropped_216hr_pH8_W30.JPG,8,30,216,test
Preprocessed_Data/264 hr/pH8 Hydrolytic/cropped_264hr_pH8_W30.JPG,8,30,264,test
Preprocessed_Data/0 hr/pH8 Hydrolytic/cropped_0hr_pH8_W33.JPG,8,33,0,test
Preprocessed_Data/24 hr/pH8 Hydrolytic/cropped_24hr_pH8_W33.JPG,8,33,24,test
Preprocessed_Data/30 hr/pH8 Hydrolytic/cropped_30hr_pH8_W33.JPG,8,33,30,test
Preprocessed_Data/48 hr/pH8 Hydrolytic/cropped_48hr_pH8_W33.JPG,8,33,48,test
Preprocessed_Data/72 hr/pH8 Hydrolytic/cropped_72hr_pH8_W33.JPG,8,33,72,test
Preprocessed_Data/95 hr/pH8 Hydrolytic/cropped_95hr_pH8_W33.JPG,8,33,95,test
Preprocessed_Data/120 hr/pH8 Hydrolytic/cropped_120hr_pH8_W33.JPG,8,33,120,test
Preprocessed_Data/168 hr/pH8 Hydrolytic/cropped_168hr_pH8_W33.JPG,8,33,168,test
Preprocessed_Data/192 hr/pH8 Hydrolytic/cropped_192hr_pH8_W33.JPG,8,33,192,test
Preprocessed_Data/216 hr/pH8 Hydrolytic/cropped_216hr_pH8_W33.JPG,8,33,216,test
Preprocessed_Data/264 hr/pH8 Hydrolytic/cropped_264hr_pH8_W33.JPG,8,33,264,test
Preprocessed_Data/0 hr/pH8 Hydrolytic/cropped_0hr_pH8_W44.JPG,8,44,0,test
Preprocessed_Data/24 hr/pH8 Hydrolytic/cropped_24hr_pH8_W44.JPG,8,44,24,test
Preprocessed_Data/30 hr/pH8 Hydrolytic/cropped_30hr_pH8_W44.JPG,8,44,30,test
Preprocessed_Data/48 hr/pH8 Hydrolytic/cropped_48hr_pH8_W44.JPG,8,44,48,test
Preprocessed_Data/72 hr/pH8 Hydrolytic/cropped_72hr_pH8_W44.JPG,8,44,72,test
Preprocessed_Data/95 hr/pH8 Hydrolytic/cropped_95hr_pH8_W44.JPG,8,44,95,test
Preprocessed_Data/120 hr/pH8 Hydrolytic/cropped_120hr_pH8_W44.JPG,8,44,120,test
Preprocessed_Data/168 hr/pH8 Hydrolytic/cropped_168hr_pH8_W44.JPG,8,44,168,test
Preprocessed_Data/192 hr/pH8 Hydrolytic/cropped_192hr_pH8_W44.JPG,8,44,192,test
Preprocessed_Data/216 hr/pH8 Hydrolytic/cropped_216hr_pH8_W44.JPG,8,44,216,test
Preprocessed_Data/264 hr/pH8 Hydrolytic/cropped_264hr_pH8_W44.JPG,8,44,264,test
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W1.JPG,5,1,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W1.JPG,5,1,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W1.JPG,5,1,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W1.JPG,5,1,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W1.JPG,5,1,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W1.JPG,5,1,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W1.JPG,5,1,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W1.JPG,5,1,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W1.JPG,5,1,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W1.JPG,5,1,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W1.JPG,5,1,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W4.JPG,5,4,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W4.JPG,5,4,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W4.jpg,5,4,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W4.JPG,5,4,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W4.JPG,5,4,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W4.JPG,5,4,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W4.JPG,5,4,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W4.JPG,5,4,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W4.JPG,5,4,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W4.JPG,5,4,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W4.JPG,5,4,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W5.JPG,5,5,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W5.JPG,5,5,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W5.JPG,5,5,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W5.JPG,5,5,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W5.JPG,5,5,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W5.JPG,5,5,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W5.JPG,5,5,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W5.JPG,5,5,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W5.JPG,5,5,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W5.JPG,5,5,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W5.JPG,5,5,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W10.JPG,5,10,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W10.JPG,5,10,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W10.JPG,5,10,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W10.JPG,5,10,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W10.JPG,5,10,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W10.JPG,5,10,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W10.JPG,5,10,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W10.JPG,5,10,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W10.JPG,5,10,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W10.JPG,5,10,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W10.JPG,5,10,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W11.JPG,5,11,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W11.JPG,5,11,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W11.jpg,5,11,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W11.JPG,5,11,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W11.JPG,5,11,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W11.JPG,5,11,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W11.JPG,5,11,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W11.JPG,5,11,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W11.JPG,5,11,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W11.JPG,5,11,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W11.JPG,5,11,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W12.JPG,5,12,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W12.JPG,5,12,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W12.jpg,5,12,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W12.JPG,5,12,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W12.JPG,5,12,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W12.JPG,5,12,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W12.JPG,5,12,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W12.JPG,5,12,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W12.JPG,5,12,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W12.JPG,5,12,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W12.JPG,5,12,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W13.JPG,5,13,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W13.JPG,5,13,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W13.JPG,5,13,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W13.JPG,5,13,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W13.JPG,5,13,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W13.JPG,5,13,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W13.JPG,5,13,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W13.JPG,5,13,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W13.JPG,5,13,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W13.JPG,5,13,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W13.JPG,5,13,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W19.JPG,5,19,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W19.JPG,5,19,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W19.JPG,5,19,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W19.JPG,5,19,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W19.JPG,5,19,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W19.JPG,5,19,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W19.JPG,5,19,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W19.JPG,5,19,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W19.JPG,5,19,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W19.JPG,5,19,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W19.JPG,5,19,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W21.JPG,5,21,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W21.JPG,5,21,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W21.JPG,5,21,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W21.JPG,5,21,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W21.JPG,5,21,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W21.JPG,5,21,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W21.JPG,5,21,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W21.JPG,5,21,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W21.JPG,5,21,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W21.JPG,5,21,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W21.JPG,5,21,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W22.JPG,5,22,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W22.JPG,5,22,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W22.JPG,5,22,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W22.JPG,5,22,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W22.JPG,5,22,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W22.JPG,5,22,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W22.JPG,5,22,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W22.JPG,5,22,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W22.JPG,5,22,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W22.JPG,5,22,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W22.JPG,5,22,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W23.JPG,5,23,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W23.JPG,5,23,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W23.jpg,5,23,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W23.JPG,5,23,48,train
Preprocessed_Data/72 hr/pH5 Hydrolytic/cropped_72hr_pH5_W23.JPG,5,23,72,train
Preprocessed_Data/95 hr/pH5 Hydrolytic/cropped_95hr_pH5_W23.JPG,5,23,95,train
Preprocessed_Data/120 hr/pH5 Hydrolytic/cropped_120hr_pH5_W23.JPG,5,23,120,train
Preprocessed_Data/168 hr/pH5 Hydrolytic/cropped_168hr_pH5_W23.JPG,5,23,168,train
Preprocessed_Data/192 hr/pH5 Hydrolytic/cropped_192hr_pH5_W23.JPG,5,23,192,train
Preprocessed_Data/216 hr/pH5 Hydrolytic/cropped_216hr_pH5_W23.JPG,5,23,216,train
Preprocessed_Data/264 hr/pH5 Hydrolytic/cropped_264hr_pH5_W23.JPG,5,23,264,train
Preprocessed_Data/0 hr/pH5 Hydrolytic/cropped_0hr_pH5_W24.JPG,5,24,0,train
Preprocessed_Data/24 hr/pH5 Hydrolytic/cropped_24hr_pH5_W24.JPG,5,24,24,train
Preprocessed_Data/30 hr/pH5 Hydrolytic/cropped_30hr_pH5_W24.JPG,5,24,30,train
Preprocessed_Data/48 hr/pH5 Hydrolytic/cropped_48hr_pH5_W24.JPG,5,24,48,train
